"Census API: Examples for /data/2023/acs/acs5
",Geography Level,Example URL
state› congressional district› county (or part),510,"https://api.census.gov/data/2023/acs/acs5?get=NAME,B01001_001E&for=county%20(or%20part):*&in=state:04%20congressional%20district:04&key=YOUR_KEY_GOES_HERE"
state› congressional district› county (or part),510,"https://api.census.gov/data/2023/acs/acs5?get=NAME,B01001_001E&for=county%20(or%20part):013&in=state:04%20congressional%20district:04&key=YOUR_KEY_GOES_HERE"
state› congressional district› american indian area/alaska native area/hawaiian home land (or part),550,"https://api.census.gov/data/2023/acs/acs5?get=NAME,B01001_001E&for=american%20indian%20area/alaska%20native%20area/hawaiian%20home%20land%20(or%20part):*&in=state:40%20congressional%20district:01&key=YOUR_KEY_GOES_HERE"
state› congressional district› american indian area/alaska native area/hawaiian home land (or part),550,"https://api.census.gov/data/2023/acs/acs5?get=NAME,B01001_001E&for=american%20indian%20area/alaska%20native%20area/hawaiian%20home%20land%20(or%20part):5620&in=state:40%20congressional%20district:01&key=YOUR_KEY_GOES_HERE"
state› state legislative district (upper chamber),610,"https://api.census.gov/data/2023/acs/acs5?get=NAME,B01001_001E&for=state%20legislative%20district%20(upper%20chamber):*&in=state:06&key=YOUR_KEY_GOES_HERE"
state› state legislative district (upper chamber),610,"https://api.census.gov/data/2023/acs/acs5?get=NAME,B01001_001E&for=state%20legislative%20district%20(upper%20chamber):039&in=state:06&key=YOUR_KEY_GOES_HERE"
state› state legislative district (upper chamber)› county (or part),612,"https://api.census.gov/data/2023/acs/acs5?get=NAME,B01001_001E&for=county%20(or%20part):*&in=state:06%20state%20legislative%20district%20(upper%20chamber):039&key=YOUR_KEY_GOES_HERE"
state› state legislative district (upper chamber)› county (or part),612,"https://api.census.gov/data/2023/acs/acs5?get=NAME,B01001_001E&for=county%20(or%20part):073&in=state:06%20state%20legislative%20district%20(upper%20chamber):039&key=YOUR_KEY_GOES_HERE"
state› state legislative district (lower chamber),620,"https://api.census.gov/data/2023/acs/acs5?get=NAME,B01001_001E&for=state%20legislative%20district%20(lower%20chamber):*&in=state:06&key=YOUR_KEY_GOES_HERE"
state› state legislative district (lower chamber),620,"https://api.census.gov/data/2023/acs/acs5?get=NAME,B01001_001E&for=state%20legislative%20district%20(lower%20chamber):027&in=state:06&key=YOUR_KEY_GOES_HERE"
state› state legislative district (lower chamber)› county (or part),622,"https://api.census.gov/data/2023/acs/acs5?get=NAME,B01001_001E&for=county%20(or%20part):*&in=state:06%20state%20legislative%20district%20(lower%20chamber):010&key=YOUR_KEY_GOES_HERE"
state› state legislative district (lower chamber)› county (or part),622,"https://api.census.gov/data/2023/acs/acs5?get=NAME,B01001_001E&for=county%20(or%20part):067&in=state:06%20state%20legislative%20district%20(lower%20chamber):010&key=YOUR_KEY_GOES_HERE"
state› public use microdata area,795,"https://api.census.gov/data/2023/acs/acs5?get=NAME,B01001_001E&for=public%20use%20microdata%20area:*&key=YOUR_KEY_GOES_HERE"
state› public use microdata area,795,"https://api.census.gov/data/2023/acs/acs5?get=NAME,B01001_001E&for=public%20use%20microdata%20area:*&in=state:*&key=YOUR_KEY_GOES_HERE"
state› public use microdata area,795,"https://api.census.gov/data/2023/acs/acs5?get=NAME,B01001_001E&for=public%20use%20microdata%20area:04412&in=state:36&key=YOUR_KEY_GOES_HERE"
zip code tabulation area,860,"https://api.census.gov/data/2023/acs/acs5?get=NAME,B01001_001E&for=zip%20code%20tabulation%20area:*&key=YOUR_KEY_GOES_HERE"
zip code tabulation area,860,"https://api.census.gov/data/2023/acs/acs5?get=NAME,B01001_001E&for=zip%20code%20tabulation%20area:77494&key=YOUR_KEY_GOES_HERE"
state› school district (elementary),950,"https://api.census.gov/data/2023/acs/acs5?get=NAME,B01001_001E&for=school%20district%20(elementary):*&key=YOUR_KEY_GOES_HERE"
state› school district (elementary),950,"https://api.census.gov/data/2023/acs/acs5?get=NAME,B01001_001E&for=school%20district%20(elementary):*&in=state:*&key=YOUR_KEY_GOES_HERE"
state› school district (elementary),950,"https://api.census.gov/data/2023/acs/acs5?get=NAME,B01001_001E&for=school%20district%20(elementary):99999&in=state:48&key=YOUR_KEY_GOES_HERE"
state› school district (secondary),960,"https://api.census.gov/data/2023/acs/acs5?get=NAME,B01001_001E&for=school%20district%20(secondary):*&key=YOUR_KEY_GOES_HERE"
state› school district (secondary),960,"https://api.census.gov/data/2023/acs/acs5?get=NAME,B01001_001E&for=school%20district%20(secondary):*&in=state:*&key=YOUR_KEY_GOES_HERE"
state› school district (secondary),960,"https://api.census.gov/data/2023/acs/acs5?get=NAME,B01001_001E&for=school%20district%20(secondary):99999&in=state:48&key=YOUR_KEY_GOES_HERE"
state› school district (unified),970,"https://api.census.gov/data/2023/acs/acs5?get=NAME,B01001_001E&for=school%20district%20(unified):*&key=YOUR_KEY_GOES_HERE"
state› school district (unified),s,"https://api.census.gov/data/2023/acs/acs5?get=NAME,B01001_001E&for=school%20district%20(unified):*&in=state:*&key=YOUR_KEY_GOES_HERE"
state› school district (unified),970,"https://api.census.gov/data/2023/acs/acs5?get=NAME,B01001_001E&for=school%20district%20(unified):99999&in=state:06&key=YOUR_KEY_GOES_HERE"
