Hawking secondary spectra for each particle type.
energy/particle         photon       electron           nu_e          nu_mu         nu_tau         proton
    5.69523e-04    2.52560e+02    5.17937e+02    2.58969e+02    2.58969e+02    2.58969e+02    0.00000e+00
    5.99177e-04    2.28380e+01    4.55297e+01    2.27648e+01    2.27648e+01    2.27648e+01    0.00000e+00
    6.30375e-04    1.20781e+00    2.48077e+00    1.24039e+00    1.24039e+00    1.24039e+00    0.00000e+00
    6.63198e-04    5.47497e-02    1.09237e-01    5.46184e-02    5.46184e-02    5.46184e-02    0.00000e+00
    6.97730e-04    3.08935e-03    6.12228e-03    3.06114e-03    3.06114e-03    3.06114e-03    0.00000e+00
    7.34060e-04    1.24361e-04    2.45622e-04    1.22811e-04    1.22811e-04    1.22811e-04    0.00000e+00
    7.72281e-04    3.72872e-06    7.35172e-06    3.67586e-06    3.67586e-06    3.67586e-06    0.00000e+00
    8.12493e-04    1.02049e-07    2.01382e-07    1.00691e-07    1.00691e-07    1.00691e-07    0.00000e+00
    8.54798e-04    2.67184e-09    5.25627e-09    2.62813e-09    2.62813e-09    2.62813e-09    0.00000e+00
    8.99307e-04    5.01841e-11    9.79780e-11    4.89890e-11    4.89890e-11    4.89890e-11    0.00000e+00
    9.46132e-04    6.93839e-13    1.35631e-12    6.78155e-13    6.78155e-13    6.78155e-13    0.00000e+00
    9.95396e-04    9.56130e-15    1.87233e-14    9.36163e-15    9.36163e-15    9.36163e-15    0.00000e+00
    1.04723e-03    9.85451e-17    1.90543e-16    9.52713e-17    9.52713e-17    9.52713e-17    0.00000e+00
    1.10175e-03    6.80821e-19    1.31960e-18    6.59800e-19    6.59800e-19    6.59800e-19    0.00000e+00
    1.15912e-03    4.66695e-21    9.06003e-21    4.53002e-21    4.53002e-21    4.53002e-21    0.00000e+00
    1.21947e-03    2.10248e-23    4.01289e-23    2.00644e-23    2.00644e-23    2.00644e-23    0.00000e+00
    1.28297e-03    7.01786e-26    1.35788e-25    6.78938e-26    6.78938e-26    6.78938e-26    0.00000e+00
    1.34977e-03    2.07670e-28    3.93987e-28    1.96993e-28    1.96993e-28    1.96993e-28    0.00000e+00
    1.42005e-03    3.53760e-31    6.76778e-31    3.38389e-31    3.38389e-31    3.38389e-31    0.00000e+00
    1.49399e-03    5.74522e-34    1.08427e-33    5.42137e-34    5.42137e-34    5.42137e-34    0.00000e+00
    1.57178e-03    5.00692e-37    9.49749e-37    4.74874e-37    4.74874e-37    4.74874e-37    0.00000e+00
    1.65362e-03    4.04407e-40    7.53858e-40    3.76929e-40    3.76929e-40    3.76929e-40    0.00000e+00
