Year,BuildingType,Target,BuildingTypeShorthand,Unit,ConstructionMethod
2028,Healthcare - Care Trust,140.0,Health. Care,kWh/m²GIA/yr,retrofit-in-one-go
2029,Healthcare - Care Trust,140.0,Health. Care,kWh/m²GIA/yr,retrofit-in-one-go
2030,Healthcare - Care Trust,140.0,Health. Care,kWh/m²GIA/yr,retrofit-in-one-go
2031,Healthcare - Care Trust,140.0,Health. Care,kWh/m²GIA/yr,retrofit-in-one-go
2032,Healthcare - Care Trust,140.0,Health. Care,kWh/m²GIA/yr,retrofit-in-one-go
2033,Healthcare - Care Trust,140.0,Health. Care,kWh/m²GIA/yr,retrofit-in-one-go
2034,Healthcare - Care Trust,140.0,Health. Care,kWh/m²GIA/yr,retrofit-in-one-go
2035,Healthcare - Care Trust,140.0,Health. Care,kWh/m²GIA/yr,retrofit-in-one-go
2036,Healthcare - Care Trust,140.0,Health. Care,kWh/m²GIA/yr,retrofit-in-one-go
2037,Healthcare - Care Trust,140.0,Health. Care,kWh/m²GIA/yr,retrofit-in-one-go
2038,Healthcare - Care Trust,140.0,Health. Care,kWh/m²GIA/yr,retrofit-in-one-go
2039,Healthcare - Care Trust,140.0,Health. Care,kWh/m²GIA/yr,retrofit-in-one-go
2040,Healthcare - Care Trust,140.0,Health. Care,kWh/m²GIA/yr,retrofit-in-one-go
2050,Healthcare - Care Trust,140.0,Health. Care,kWh/m²GIA/yr,retrofit-in-one-go
2025,Healthcare - Community Trust,162.0,Health. Comm.,kWh/m²GIA/yr,retrofit-in-one-go
2026,Healthcare - Community Trust,163.0,Health. Comm.,kWh/m²GIA/yr,retrofit-in-one-go
2027,Healthcare - Community Trust,163.0,Health. Comm.,kWh/m²GIA/yr,retrofit-in-one-go
2028,Healthcare - Community Trust,163.0,Health. Comm.,kWh/m²GIA/yr,retrofit-in-one-go
2029,Healthcare - Community Trust,163.0,Health. Comm.,kWh/m²GIA/yr,retrofit-in-one-go
2030,Healthcare - Community Trust,163.0,Health. Comm.,kWh/m²GIA/yr,retrofit-in-one-go
2031,Healthcare - Community Trust,163.0,Health. Comm.,kWh/m²GIA/yr,retrofit-in-one-go
2032,Healthcare - Community Trust,163.0,Health. Comm.,kWh/m²GIA/yr,retrofit-in-one-go
2033,Healthcare - Community Trust,163.0,Health. Comm.,kWh/m²GIA/yr,retrofit-in-one-go
2034,Healthcare - Community Trust,163.0,Health. Comm.,kWh/m²GIA/yr,retrofit-in-one-go
2035,Healthcare - Community Trust,163.0,Health. Comm.,kWh/m²GIA/yr,retrofit-in-one-go
2036,Healthcare - Community Trust,163.0,Health. Comm.,kWh/m²GIA/yr,retrofit-in-one-go
2037,Healthcare - Community Trust,163.0,Health. Comm.,kWh/m²GIA/yr,retrofit-in-one-go
2038,Healthcare - Community Trust,163.0,Health. Comm.,kWh/m²GIA/yr,retrofit-in-one-go
2039,Healthcare - Community Trust,163.0,Health. Comm.,kWh/m²GIA/yr,retrofit-in-one-go
2040,Healthcare - Community Trust,162.0,Health. Comm.,kWh/m²GIA/yr,retrofit-in-one-go
2050,Healthcare - Community Trust,162.0,Health. Comm.,kWh/m²GIA/yr,retrofit-in-one-go
2025,Healthcare - Mental Health & Learning Trust,166.0,Health. MH & L. .,kWh/m²GIA/yr,retrofit-in-one-go
2026,Healthcare - Mental Health & Learning Trust,167.0,Health. MH & L. .,kWh/m²GIA/yr,retrofit-in-one-go
2027,Healthcare - Mental Health & Learning Trust,167.0,Health. MH & L. .,kWh/m²GIA/yr,retrofit-in-one-go
2028,Healthcare - Mental Health & Learning Trust,167.0,Health. MH & L. .,kWh/m²GIA/yr,retrofit-in-one-go
2029,Healthcare - Mental Health & Learning Trust,167.0,Health. MH & L. .,kWh/m²GIA/yr,retrofit-in-one-go
2030,Healthcare - Mental Health & Learning Trust,167.0,Health. MH & L. .,kWh/m²GIA/yr,retrofit-in-one-go
2031,Healthcare - Mental Health & Learning Trust,167.0,Health. MH & L. .,kWh/m²GIA/yr,retrofit-in-one-go
2032,Healthcare - Mental Health & Learning Trust,167.0,Health. MH & L. .,kWh/m²GIA/yr,retrofit-in-one-go
2033,Healthcare - Mental Health & Learning Trust,167.0,Health. MH & L. .,kWh/m²GIA/yr,retrofit-in-one-go
2034,Healthcare - Mental Health & Learning Trust,167.0,Health. MH & L. .,kWh/m²GIA/yr,retrofit-in-one-go
2035,Healthcare - Mental Health & Learning Trust,167.0,Health. MH & L. .,kWh/m²GIA/yr,retrofit-in-one-go
2036,Healthcare - Mental Health & Learning Trust,167.0,Health. MH & L. .,kWh/m²GIA/yr,retrofit-in-one-go
2037,Healthcare - Mental Health & Learning Trust,167.0,Health. MH & L. .,kWh/m²GIA/yr,retrofit-in-one-go
2038,Healthcare - Mental Health & Learning Trust,167.0,Health. MH & L. .,kWh/m²GIA/yr,retrofit-in-one-go
2039,Healthcare - Mental Health & Learning Trust,167.0,Health. MH & L. .,kWh/m²GIA/yr,retrofit-in-one-go
2040,Healthcare - Mental Health & Learning Trust,166.0,Health. MH & L. .,kWh/m²GIA/yr,retrofit-in-one-go
2050,Healthcare - Mental Health & Learning Trust,166.0,Health. MH & L. .,kWh/m²GIA/yr,retrofit-in-one-go
2025,Healthcare - Ambulance Trust,182.0,Health. Amb.,kWh/m²GIA/yr,retrofit-in-one-go
2026,Healthcare - Ambulance Trust,182.0,Health. Amb.,kWh/m²GIA/yr,retrofit-in-one-go
2027,Healthcare - Ambulance Trust,182.0,Health. Amb.,kWh/m²GIA/yr,retrofit-in-one-go
2028,Healthcare - Ambulance Trust,182.0,Health. Amb.,kWh/m²GIA/yr,retrofit-in-one-go
2029,Healthcare - Ambulance Trust,182.0,Health. Amb.,kWh/m²GIA/yr,retrofit-in-one-go
2030,Healthcare - Ambulance Trust,182.0,Health. Amb.,kWh/m²GIA/yr,retrofit-in-one-go
2031,Healthcare - Ambulance Trust,182.0,Health. Amb.,kWh/m²GIA/yr,retrofit-in-one-go
2032,Healthcare - Ambulance Trust,182.0,Health. Amb.,kWh/m²GIA/yr,retrofit-in-one-go
2033,Healthcare - Ambulance Trust,182.0,Health. Amb.,kWh/m²GIA/yr,retrofit-in-one-go
2034,Healthcare - Ambulance Trust,182.0,Health. Amb.,kWh/m²GIA/yr,retrofit-in-one-go
2035,Healthcare - Ambulance Trust,182.0,Health. Amb.,kWh/m²GIA/yr,retrofit-in-one-go
2036,Healthcare - Ambulance Trust,182.0,Health. Amb.,kWh/m²GIA/yr,retrofit-in-one-go
2037,Healthcare - Ambulance Trust,182.0,Health. Amb.,kWh/m²GIA/yr,retrofit-in-one-go
2038,Healthcare - Ambulance Trust,182.0,Health. Amb.,kWh/m²GIA/yr,retrofit-in-one-go
2039,Healthcare - Ambulance Trust,182.0,Health. Amb.,kWh/m²GIA/yr,retrofit-in-one-go
2040,Healthcare - Ambulance Trust,182.0,Health. Amb.,kWh/m²GIA/yr,retrofit-in-one-go
2050,Healthcare - Ambulance Trust,182.0,Health. Amb.,kWh/m²GIA/yr,retrofit-in-one-go
2025,Higher Education,130.0,High. Ed.,kWh/m²GIA/yr,retrofit-in-one-go
2026,Higher Education,127.0,High. Ed.,kWh/m²GIA/yr,retrofit-in-one-go
2027,Higher Education,123.0,High. Ed.,kWh/m²GIA/yr,retrofit-in-one-go
2028,Higher Education,119.0,High. Ed.,kWh/m²GIA/yr,retrofit-in-one-go
2029,Higher Education,116.0,High. Ed.,kWh/m²GIA/yr,retrofit-in-one-go
2030,Higher Education,112.0,High. Ed.,kWh/m²GIA/yr,retrofit-in-one-go
2031,Higher Education,108.0,High. Ed.,kWh/m²GIA/yr,retrofit-in-one-go
2032,Higher Education,105.0,High. Ed.,kWh/m²GIA/yr,retrofit-in-one-go
2033,Higher Education,101.0,High. Ed.,kWh/m²GIA/yr,retrofit-in-one-go
2034,Higher Education,97.0,High. Ed.,kWh/m²GIA/yr,retrofit-in-one-go
2035,Higher Education,94.0,High. Ed.,kWh/m²GIA/yr,retrofit-in-one-go
2036,Higher Education,90.0,High. Ed.,kWh/m²GIA/yr,retrofit-in-one-go
2037,Higher Education,86.0,High. Ed.,kWh/m²GIA/yr,retrofit-in-one-go
2038,Higher Education,83.0,High. Ed.,kWh/m²GIA/yr,retrofit-in-one-go
2039,Higher Education,79.0,High. Ed.,kWh/m²GIA/yr,retrofit-in-one-go
2040,Higher Education,75.0,High. Ed.,kWh/m²GIA/yr,retrofit-in-one-go
2050,Higher Education,75.0,High. Ed.,kWh/m²GIA/yr,retrofit-in-one-go
2025,Homes - Single family homes,75.0,Home S.F.,kWh/m²GIA/yr,retrofit-in-one-go
2026,Homes - Single family homes,74.0,Home S.F.,kWh/m²GIA/yr,retrofit-in-one-go
2027,Homes - Single family homes,73.0,Home S.F.,kWh/m²GIA/yr,retrofit-in-one-go
2028,Homes - Single family homes,72.0,Home S.F.,kWh/m²GIA/yr,retrofit-in-one-go
2029,Homes - Single family homes,71.0,Home S.F.,kWh/m²GIA/yr,retrofit-in-one-go
2030,Homes - Single family homes,70.0,Home S.F.,kWh/m²GIA/yr,retrofit-in-one-go
2031,Homes - Single family homes,69.0,Home S.F.,kWh/m²GIA/yr,retrofit-in-one-go
2032,Homes - Single family homes,68.0,Home S.F.,kWh/m²GIA/yr,retrofit-in-one-go
2033,Homes - Single family homes,66.0,Home S.F.,kWh/m²GIA/yr,retrofit-in-one-go
2034,Homes - Single family homes,65.0,Home S.F.,kWh/m²GIA/yr,retrofit-in-one-go
2035,Homes - Single family homes,64.0,Home S.F.,kWh/m²GIA/yr,retrofit-in-one-go
2036,Homes - Single family homes,63.0,Home S.F.,kWh/m²GIA/yr,retrofit-in-one-go
2037,Homes - Single family homes,62.0,Home S.F.,kWh/m²GIA/yr,retrofit-in-one-go
2038,Homes - Single family homes,61.0,Home S.F.,kWh/m²GIA/yr,retrofit-in-one-go
2039,Homes - Single family homes,60.0,Home S.F.,kWh/m²GIA/yr,retrofit-in-one-go
2040,Homes - Single family homes,58.0,Home S.F.,kWh/m²GIA/yr,retrofit-in-one-go
2050,Homes - Single family homes,58.0,Home S.F.,kWh/m²GIA/yr,retrofit-in-one-go
2025,Homes - Flats,65.0,Home Flat.,kWh/m²GIA/yr,retrofit-in-one-go
2026,Homes - Flats,65.0,Home Flat.,kWh/m²GIA/yr,retrofit-in-one-go
2027,Homes - Flats,64.0,Home Flat.,kWh/m²GIA/yr,retrofit-in-one-go
2028,Homes - Flats,64.0,Home Flat.,kWh/m²GIA/yr,retrofit-in-one-go
2029,Homes - Flats,63.0,Home Flat.,kWh/m²GIA/yr,retrofit-in-one-go
2030,Homes - Flats,63.0,Home Flat.,kWh/m²GIA/yr,retrofit-in-one-go
2031,Homes - Flats,62.0,Home Flat.,kWh/m²GIA/yr,retrofit-in-one-go
2032,Homes - Flats,62.0,Home Flat.,kWh/m²GIA/yr,retrofit-in-one-go
2033,Homes - Flats,61.0,Home Flat.,kWh/m²GIA/yr,retrofit-in-one-go
2034,Homes - Flats,61.0,Home Flat.,kWh/m²GIA/yr,retrofit-in-one-go
2035,Homes - Flats,60.0,Home Flat.,kWh/m²GIA/yr,retrofit-in-one-go
2036,Homes - Flats,60.0,Home Flat.,kWh/m²GIA/yr,retrofit-in-one-go
2037,Homes - Flats,59.0,Home Flat.,kWh/m²GIA/yr,retrofit-in-one-go
2038,Homes - Flats,59.0,Home Flat.,kWh/m²GIA/yr,retrofit-in-one-go
2039,Homes - Flats,58.0,Home Flat.,kWh/m²GIA/yr,retrofit-in-one-go
2040,Homes - Flats,57.0,Home Flat.,kWh/m²GIA/yr,retrofit-in-one-go
2050,Homes - Flats,57.0,Home Flat.,kWh/m²GIA/yr,retrofit-in-one-go
2025,Hotel,180.0,Hotel,kWh/m²GIA/yr,retrofit-in-one-go
2026,Hotel,176.0,Hotel,kWh/m²GIA/yr,retrofit-in-one-go
2027,Hotel,172.0,Hotel,kWh/m²GIA/yr,retrofit-in-one-go
2028,Hotel,168.0,Hotel,kWh/m²GIA/yr,retrofit-in-one-go
2029,Hotel,164.0,Hotel,kWh/m²GIA/yr,retrofit-in-one-go
2030,Hotel,160.0,Hotel,kWh/m²GIA/yr,retrofit-in-one-go
2031,Hotel,156.0,Hotel,kWh/m²GIA/yr,retrofit-in-one-go
2032,Hotel,152.0,Hotel,kWh/m²GIA/yr,retrofit-in-one-go
2033,Hotel,148.0,Hotel,kWh/m²GIA/yr,retrofit-in-one-go
2034,Hotel,144.0,Hotel,kWh/m²GIA/yr,retrofit-in-one-go
2035,Hotel,140.0,Hotel,kWh/m²GIA/yr,retrofit-in-one-go
2036,Hotel,136.0,Hotel,kWh/m²GIA/yr,retrofit-in-one-go
2037,Hotel,132.0,Hotel,kWh/m²GIA/yr,retrofit-in-one-go
2038,Hotel,128.0,Hotel,kWh/m²GIA/yr,retrofit-in-one-go
2039,Hotel,124.0,Hotel,kWh/m²GIA/yr,retrofit-in-one-go
2040,Hotel,120.0,Hotel,kWh/m²GIA/yr,retrofit-in-one-go
2050,Hotel,120.0,Hotel,kWh/m²GIA/yr,retrofit-in-one-go
2025,Office - General,100.0,Off. Gen. (GIA),kWh/m²GIA/yr,retrofit-in-one-go
2026,Office - General,97.0,Off. Gen. (GIA),kWh/m²GIA/yr,retrofit-in-one-go
2027,Office - General,94.0,Off. Gen. (GIA),kWh/m²GIA/yr,retrofit-in-one-go
2028,Office - General,91.0,Off. Gen. (GIA),kWh/m²GIA/yr,retrofit-in-one-go
2029,Office - General,88.0,Off. Gen. (GIA),kWh/m²GIA/yr,retrofit-in-one-go
2030,Office - General,85.0,Off. Gen. (GIA),kWh/m²GIA/yr,retrofit-in-one-go
2031,Office - General,82.0,Off. Gen. (GIA),kWh/m²GIA/yr,retrofit-in-one-go
2032,Office - General,79.0,Off. Gen. (GIA),kWh/m²GIA/yr,retrofit-in-one-go
2033,Office - General,76.0,Off. Gen. (GIA),kWh/m²GIA/yr,retrofit-in-one-go
2034,Office - General,73.0,Off. Gen. (GIA),kWh/m²GIA/yr,retrofit-in-one-go
2035,Office - General,70.0,Off. Gen. (GIA),kWh/m²GIA/yr,retrofit-in-one-go
2036,Office - General,67.0,Off. Gen. (GIA),kWh/m²GIA/yr,retrofit-in-one-go
2037,Office - General,64.0,Off. Gen. (GIA),kWh/m²GIA/yr,retrofit-in-one-go
2038,Office - General,61.0,Off. Gen. (GIA),kWh/m²GIA/yr,retrofit-in-one-go
2039,Office - General,58.0,Off. Gen. (GIA),kWh/m²GIA/yr,retrofit-in-one-go
2040,Office - General,55.0,Off. Gen. (GIA),kWh/m²GIA/yr,retrofit-in-one-go
2050,Office - General,55.0,Off. Gen. (GIA),kWh/m²GIA/yr,retrofit-in-one-go
2025,Office - Call Centre,191.0,Off. Call Cen. (GIA),kWh/m²GIA/yr,retrofit-in-one-go
2026,Office - Call Centre,187.0,Off. Call Cen. (GIA),kWh/m²GIA/yr,retrofit-in-one-go
2027,Office - Call Centre,183.0,Off. Call Cen. (GIA),kWh/m²GIA/yr,retrofit-in-one-go
2028,Office - Call Centre,179.0,Off. Call Cen. (GIA),kWh/m²GIA/yr,retrofit-in-one-go
2029,Office - Call Centre,174.0,Off. Call Cen. (GIA),kWh/m²GIA/yr,retrofit-in-one-go
2030,Office - Call Centre,170.0,Off. Call Cen. (GIA),kWh/m²GIA/yr,retrofit-in-one-go
2031,Office - Call Centre,166.0,Off. Call Cen. (GIA),kWh/m²GIA/yr,retrofit-in-one-go
2032,Office - Call Centre,162.0,Off. Call Cen. (GIA),kWh/m²GIA/yr,retrofit-in-one-go
2033,Office - Call Centre,157.0,Off. Call Cen. (GIA),kWh/m²GIA/yr,retrofit-in-one-go
2034,Office - Call Centre,153.0,Off. Call Cen. (GIA),kWh/m²GIA/yr,retrofit-in-one-go
2035,Office - Call Centre,149.0,Off. Call Cen. (GIA),kWh/m²GIA/yr,retrofit-in-one-go
2036,Office - Call Centre,145.0,Off. Call Cen. (GIA),kWh/m²GIA/yr,retrofit-in-one-go
2037,Office - Call Centre,140.0,Off. Call Cen. (GIA),kWh/m²GIA/yr,retrofit-in-one-go
2038,Office - Call Centre,136.0,Off. Call Cen. (GIA),kWh/m²GIA/yr,retrofit-in-one-go
2039,Office - Call Centre,132.0,Off. Call Cen. (GIA),kWh/m²GIA/yr,retrofit-in-one-go
2040,Office - Call Centre,127.0,Off. Call Cen. (GIA),kWh/m²GIA/yr,retrofit-in-one-go
2050,Office - Call Centre,127.0,Off. Call Cen. (GIA),kWh/m²GIA/yr,retrofit-in-one-go
2025,Office - Trading Floors,220.0,Off. Tr. Fl. (GIA),kWh/m²GIA/yr,retrofit-in-one-go
2026,Office - Trading Floors,216.0,Off. Tr. Fl. (GIA),kWh/m²GIA/yr,retrofit-in-one-go
2027,Office - Trading Floors,211.0,Off. Tr. Fl. (GIA),kWh/m²GIA/yr,retrofit-in-one-go
2028,Office - Trading Floors,206.0,Off. Tr. Fl. (GIA),kWh/m²GIA/yr,retrofit-in-one-go
2029,Office - Trading Floors,201.0,Off. Tr. Fl. (GIA),kWh/m²GIA/yr,retrofit-in-one-go
2030,Office - Trading Floors,196.0,Off. Tr. Fl. (GIA),kWh/m²GIA/yr,retrofit-in-one-go
2031,Office - Trading Floors,191.0,Off. Tr. Fl. (GIA),kWh/m²GIA/yr,retrofit-in-one-go
2032,Office - Trading Floors,186.0,Off. Tr. Fl. (GIA),kWh/m²GIA/yr,retrofit-in-one-go
2033,Office - Trading Floors,182.0,Off. Tr. Fl. (GIA),kWh/m²GIA/yr,retrofit-in-one-go
2034,Office - Trading Floors,177.0,Off. Tr. Fl. (GIA),kWh/m²GIA/yr,retrofit-in-one-go
2035,Office - Trading Floors,172.0,Off. Tr. Fl. (GIA),kWh/m²GIA/yr,retrofit-in-one-go
2036,Office - Trading Floors,167.0,Off. Tr. Fl. (GIA),kWh/m²GIA/yr,retrofit-in-one-go
2037,Office - Trading Floors,162.0,Off. Tr. Fl. (GIA),kWh/m²GIA/yr,retrofit-in-one-go
2038,Office - Trading Floors,157.0,Off. Tr. Fl. (GIA),kWh/m²GIA/yr,retrofit-in-one-go
2039,Office - Trading Floors,152.0,Off. Tr. Fl. (GIA),kWh/m²GIA/yr,retrofit-in-one-go
2040,Office - Trading Floors,147.0,Off. Tr. Fl. (GIA),kWh/m²GIA/yr,retrofit-in-one-go
2050,Office - Trading Floors,147.0,Off. Tr. Fl. (GIA),kWh/m²GIA/yr,retrofit-in-one-go
2025,Retail - Supermarket,230.0,Retail Super M.,kWh/m²GIA/yr,retrofit-in-one-go
2026,Retail - Supermarket,224.0,Retail Super M.,kWh/m²GIA/yr,retrofit-in-one-go
2027,Retail - Supermarket,217.0,Retail Super M.,kWh/m²GIA/yr,retrofit-in-one-go
2028,Retail - Supermarket,210.0,Retail Super M.,kWh/m²GIA/yr,retrofit-in-one-go
2029,Retail - Supermarket,204.0,Retail Super M.,kWh/m²GIA/yr,retrofit-in-one-go
2030,Retail - Supermarket,197.0,Retail Super M.,kWh/m²GIA/yr,retrofit-in-one-go
2031,Retail - Supermarket,190.0,Retail Super M.,kWh/m²GIA/yr,retrofit-in-one-go
2032,Retail - Supermarket,184.0,Retail Super M.,kWh/m²GIA/yr,retrofit-in-one-go
2033,Retail - Supermarket,177.0,Retail Super M.,kWh/m²GIA/yr,retrofit-in-one-go
2034,Retail - Supermarket,170.0,Retail Super M.,kWh/m²GIA/yr,retrofit-in-one-go
2035,Retail - Supermarket,164.0,Retail Super M.,kWh/m²GIA/yr,retrofit-in-one-go
2036,Retail - Supermarket,157.0,Retail Super M.,kWh/m²GIA/yr,retrofit-in-one-go
2037,Retail - Supermarket,150.0,Retail Super M.,kWh/m²GIA/yr,retrofit-in-one-go
2038,Retail - Supermarket,144.0,Retail Super M.,kWh/m²GIA/yr,retrofit-in-one-go
2039,Retail - Supermarket,137.0,Retail Super M.,kWh/m²GIA/yr,retrofit-in-one-go
2040,Retail - Supermarket,130.0,Retail Super M.,kWh/m²GIA/yr,retrofit-in-one-go
2050,Retail - Supermarket,130.0,Retail Super M.,kWh/m²GIA/yr,retrofit-in-one-go
2025,Retail - High street retail e.g. dept. store,90.0,Retail Hi. St.,kWh/m²GIA/yr,retrofit-in-one-go
2026,Retail - High street retail e.g. dept. store,87.0,Retail Hi. St.,kWh/m²GIA/yr,retrofit-in-one-go
2027,Retail - High street retail e.g. dept. store,84.0,Retail Hi. St.,kWh/m²GIA/yr,retrofit-in-one-go
2028,Retail - High street retail e.g. dept. store,81.0,Retail Hi. St.,kWh/m²GIA/yr,retrofit-in-one-go
2029,Retail - High street retail e.g. dept. store,78.0,Retail Hi. St.,kWh/m²GIA/yr,retrofit-in-one-go
2030,Retail - High street retail e.g. dept. store,75.0,Retail Hi. St.,kWh/m²GIA/yr,retrofit-in-one-go
2031,Retail - High street retail e.g. dept. store,72.0,Retail Hi. St.,kWh/m²GIA/yr,retrofit-in-one-go
2032,Retail - High street retail e.g. dept. store,69.0,Retail Hi. St.,kWh/m²GIA/yr,retrofit-in-one-go
2033,Retail - High street retail e.g. dept. store,66.0,Retail Hi. St.,kWh/m²GIA/yr,retrofit-in-one-go
2034,Retail - High street retail e.g. dept. store,63.0,Retail Hi. St.,kWh/m²GIA/yr,retrofit-in-one-go
2035,Retail - High street retail e.g. dept. store,60.0,Retail Hi. St.,kWh/m²GIA/yr,retrofit-in-one-go
2036,Retail - High street retail e.g. dept. store,57.0,Retail Hi. St.,kWh/m²GIA/yr,retrofit-in-one-go
2037,Retail - High street retail e.g. dept. store,54.0,Retail Hi. St.,kWh/m²GIA/yr,retrofit-in-one-go
2038,Retail - High street retail e.g. dept. store,51.0,Retail Hi. St.,kWh/m²GIA/yr,retrofit-in-one-go
2039,Retail - High street retail e.g. dept. store,48.0,Retail Hi. St.,kWh/m²GIA/yr,retrofit-in-one-go
2040,Retail - High street retail e.g. dept. store,45.0,Retail Hi. St.,kWh/m²GIA/yr,retrofit-in-one-go
2050,Retail - High street retail e.g. dept. store,45.0,Retail Hi. St.,kWh/m²GIA/yr,retrofit-in-one-go
2025,Retail - F&B without catering (a),250.0,Retail FB w/o Cater.,kWh/m²GIA/yr,retrofit-in-one-go
2026,Retail - F&B without catering (a),243.0,Retail FB w/o Cater.,kWh/m²GIA/yr,retrofit-in-one-go
2027,Retail - F&B without catering (a),236.0,Retail FB w/o Cater.,kWh/m²GIA/yr,retrofit-in-one-go
2028,Retail - F&B without catering (a),228.0,Retail FB w/o Cater.,kWh/m²GIA/yr,retrofit-in-one-go
2029,Retail - F&B without catering (a),221.0,Retail FB w/o Cater.,kWh/m²GIA/yr,retrofit-in-one-go
2030,Retail - F&B without catering (a),214.0,Retail FB w/o Cater.,kWh/m²GIA/yr,retrofit-in-one-go
2031,Retail - F&B without catering (a),206.0,Retail FB w/o Cater.,kWh/m²GIA/yr,retrofit-in-one-go
2032,Retail - F&B without catering (a),199.0,Retail FB w/o Cater.,kWh/m²GIA/yr,retrofit-in-one-go
2033,Retail - F&B without catering (a),192.0,Retail FB w/o Cater.,kWh/m²GIA/yr,retrofit-in-one-go
2034,Retail - F&B without catering (a),184.0,Retail FB w/o Cater.,kWh/m²GIA/yr,retrofit-in-one-go
2035,Retail - F&B without catering (a),177.0,Retail FB w/o Cater.,kWh/m²GIA/yr,retrofit-in-one-go
2036,Retail - F&B without catering (a),170.0,Retail FB w/o Cater.,kWh/m²GIA/yr,retrofit-in-one-go
2037,Retail - F&B without catering (a),162.0,Retail FB w/o Cater.,kWh/m²GIA/yr,retrofit-in-one-go
2038,Retail - F&B without catering (a),155.0,Retail FB w/o Cater.,kWh/m²GIA/yr,retrofit-in-one-go
2039,Retail - F&B without catering (a),148.0,Retail FB w/o Cater.,kWh/m²GIA/yr,retrofit-in-one-go
2040,Retail - F&B without catering (a),140.0,Retail FB w/o Cater.,kWh/m²GIA/yr,retrofit-in-one-go
2050,Retail - F&B without catering (a),140.0,Retail FB w/o Cater.,kWh/m²GIA/yr,retrofit-in-one-go
2025,Retail - F&B with catering (b),450.0,Retail FB inc. Cater.,kWh/m²GIA/yr,retrofit-in-one-go
2026,Retail - F&B with catering (b),438.0,Retail FB inc. Cater.,kWh/m²GIA/yr,retrofit-in-one-go
2027,Retail - F&B with catering (b),425.0,Retail FB inc. Cater.,kWh/m²GIA/yr,retrofit-in-one-go
2028,Retail - F&B with catering (b),412.0,Retail FB inc. Cater.,kWh/m²GIA/yr,retrofit-in-one-go
2029,Retail - F&B with catering (b),400.0,Retail FB inc. Cater.,kWh/m²GIA/yr,retrofit-in-one-go
2030,Retail - F&B with catering (b),387.0,Retail FB inc. Cater.,kWh/m²GIA/yr,retrofit-in-one-go
2031,Retail - F&B with catering (b),374.0,Retail FB inc. Cater.,kWh/m²GIA/yr,retrofit-in-one-go
2032,Retail - F&B with catering (b),362.0,Retail FB inc. Cater.,kWh/m²GIA/yr,retrofit-in-one-go
2033,Retail - F&B with catering (b),349.0,Retail FB inc. Cater.,kWh/m²GIA/yr,retrofit-in-one-go
2034,Retail - F&B with catering (b),336.0,Retail FB inc. Cater.,kWh/m²GIA/yr,retrofit-in-one-go
2035,Retail - F&B with catering (b),324.0,Retail FB inc. Cater.,kWh/m²GIA/yr,retrofit-in-one-go
2036,Retail - F&B with catering (b),311.0,Retail FB inc. Cater.,kWh/m²GIA/yr,retrofit-in-one-go
2037,Retail - F&B with catering (b),298.0,Retail FB inc. Cater.,kWh/m²GIA/yr,retrofit-in-one-go
2038,Retail - F&B with catering (b),286.0,Retail FB inc. Cater.,kWh/m²GIA/yr,retrofit-in-one-go
2039,Retail - F&B with catering (b),273.0,Retail FB inc. Cater.,kWh/m²GIA/yr,retrofit-in-one-go
2040,Retail - F&B with catering (b),260.0,Retail FB inc. Cater.,kWh/m²GIA/yr,retrofit-in-one-go
2050,Retail - F&B with catering (b),260.0,Retail FB inc. Cater.,kWh/m²GIA/yr,retrofit-in-one-go
2025,Retail - Landlord areas (c),80.0,Retail LL.,kWh/m²GIA/yr,retrofit-in-one-go
2026,Retail - Landlord areas (c),79.0,Retail LL.,kWh/m²GIA/yr,retrofit-in-one-go
2027,Retail - Landlord areas (c),77.0,Retail LL.,kWh/m²GIA/yr,retrofit-in-one-go
2028,Retail - Landlord areas (c),75.0,Retail LL.,kWh/m²GIA/yr,retrofit-in-one-go
2029,Retail - Landlord areas (c),74.0,Retail LL.,kWh/m²GIA/yr,retrofit-in-one-go
2030,Retail - Landlord areas (c),72.0,Retail LL.,kWh/m²GIA/yr,retrofit-in-one-go
2031,Retail - Landlord areas (c),70.0,Retail LL.,kWh/m²GIA/yr,retrofit-in-one-go
2032,Retail - Landlord areas (c),69.0,Retail LL.,kWh/m²GIA/yr,retrofit-in-one-go
2033,Retail - Landlord areas (c),67.0,Retail LL.,kWh/m²GIA/yr,retrofit-in-one-go
2034,Retail - Landlord areas (c),65.0,Retail LL.,kWh/m²GIA/yr,retrofit-in-one-go
2035,Retail - Landlord areas (c),64.0,Retail LL.,kWh/m²GIA/yr,retrofit-in-one-go
2036,Retail - Landlord areas (c),62.0,Retail LL.,kWh/m²GIA/yr,retrofit-in-one-go
2037,Retail - Landlord areas (c),60.0,Retail LL.,kWh/m²GIA/yr,retrofit-in-one-go
2038,Retail - Landlord areas (c),59.0,Retail LL.,kWh/m²GIA/yr,retrofit-in-one-go
2039,Retail - Landlord areas (c),57.0,Retail LL.,kWh/m²GIA/yr,retrofit-in-one-go
2040,Retail - Landlord areas (c),55.0,Retail LL.,kWh/m²GIA/yr,retrofit-in-one-go
2050,Retail - Landlord areas (c),55.0,Retail LL.,kWh/m²GIA/yr,retrofit-in-one-go
2025,Retail - warehouse,100.0,Retail W.H,kWh/m²GIA/yr,retrofit-in-one-go
2026,Retail - warehouse,97.0,Retail W.H,kWh/m²GIA/yr,retrofit-in-one-go
