# Symbol Z A transition E_tran[keV] dE_tran[keV] N_pol[keV] alpha[1/fm]	k C_z[am/keV] barrett[fm] dbarrett_stat[fm] dbarrett_pol[fm]
Sn 50 118 2p32->1s 3459.7480 0.0950 1.5840 0.1117 2.2104 -3.2860 17.0044 0.0014 0.0071
Sn 50 119 2p12->1s 3412.8480 0.0610 1.4520 0.1126 2.2122 -3.3350 16.9926 0.0009 0.0066
Sn 50 119 2p32->1s 3458.7800 0.0600 1.4770 0.1117 2.2105 -3.2880 17.0247 0.0010 0.0067
Sn 50 120 2p12->1s 3408.9750 0.0520 1.6370 0.1125 2.2125 -3.3400 17.0770 0.0010 0.0076
Sn 50 120 2p32->1s 3454.4530 0.0500 1.6670 0.1116 2.2108 -3.2940 17.1093 0.0010 0.0076
Sn 50 122 2p12->1s 3404.2310 0.1240 1.5480 0.1124 2.2128 -3.3470 17.1683 0.0019 0.0072
Sn 50 122 2p32->1s 3449.6380 0.1070 1.5760 0.1115 2.2111 -3.3000 17.2009 0.0019 0.0072
Sn 50 124 2p12->1s 3400.1820 0.0610 1.4540 0.1123 2.2131 -3.3520 17.2494 0.0010 0.0072
Sn 50 124 2p32->1s 3445.4820 0.0570 1.4810 0.1114 2.2114 -3.3050 17.2817 0.0010 0.0072
Sb 51 121 2p12->1s 3497.9910 0.0580 1.3540 0.1139 2.2159 -3.2030 17.2093 0.0009 0.0062
Sb 51 121 2p32->1s 3547.4340 0.0560 1.8000 0.1130 2.2141 -3.1570 17.2389 0.0010 0.0081
Sb 51 123 2p12->1s 3494.5620 0.0780 1.0630 0.1139 2.2161 -3.2090 17.2641 0.0014 0.0048
Sb 51 123 2p32->1s 3544.2470 0.0560 2.0060 0.1129 2.2143 -3.1610 17.3029 0.0010 0.0091
Te 52 122 2p12->1s 3586.4800 0.3550 1.8140 0.1153 2.2193 -3.0780 17.3540 0.0043 0.0081
Te 52 122 2p32->1s 3638.4590 0.3550 1.8270 0.1143 2.2174 -3.0300 17.3904 0.0052 0.0081
Te 52 123 2p12->1s 3585.2380 0.0380 1.6350 0.1153 2.2193 -3.0810 17.3696 0.0005 0.0071
Te 52 123 2p32->1s 3637.1910 0.0300 1.6140 0.1143 2.2174 -3.0330 17.4061 0.0005 0.0071
Te 52 124 2p12->1s 3582.4890 0.0270 1.7910 0.1152 2.2195 -3.0830 17.4260 0.0005 0.0076
Te 52 124 2p32->1s 3634.4440 0.0240 1.7770 0.1142 2.2176 -3.0350 17.4628 0.0005 0.0076
Te 52 125 2p12->1s 3581.5830 0.0340 1.5800 0.1152 2.2196 -3.0840 17.4393 0.0005 0.0071
Te 52 125 2p32->1s 3633.5310 0.0270 1.5860 0.1142 2.2177 -3.0360 17.4760 0.0005 0.0072
Te 52 126 2p12->1s 3578.9970 0.0260 1.6420 0.1152 2.2197 -3.0890 17.4815 0.0005 0.0071
Te 52 126 2p32->1s 3630.8780 0.0230 1.6640 0.1142 2.2178 -3.0410 17.5184 0.0005 0.0072
Te 52 128 2p12->1s 3575.7020 0.0300 1.6170 0.1151 2.2199 -3.0920 17.5438 0.0005 0.0071
Te 52 128 2p32->1s 3627.5760 0.0250 1.6440 0.1141 2.2180 -3.0440 17.5810 0.0005 0.0072
Te 52 130 2p12->1s 3572.6420 0.0210 1.6010 0.1150 2.2201 -3.0950 17.6035 0.0005 0.0072
Te 52 130 2p32->1s 3624.4720 0.0180 1.6280 0.1140 2.2182 -3.0470 17.6408 0.0005 0.0072
I 53 127 2p12->1s 3667.3610 0.0350 0.5320 0.1166 2.2229 -2.9690 17.5799 0.0005 0.0024
I 53 127 2p32->1s 3723.7420 0.0330 1.4540 0.1155 2.2209 -2.9190 17.6237 0.0005 0.0062
Xe 54 124 2p12->1s 3761.6550 0.0360 1.5540 0.1181 2.2259 -2.8530 17.6067 0.0005 0.0061
Xe 54 124 2p32->1s 3820.2000 0.0270 1.4230 0.1170 2.2238 -2.8040 17.6480 0.0005 0.0057
Xe 54 126 2p12->1s 3757.9000 0.1000 1.5920 0.1180 2.2261 -2.8570 17.6708 0.0014 0.0066
Xe 54 126 2p32->1s 3816.6900 0.1000 1.5170 0.1169 2.2240 -2.8070 17.7123 0.0014 0.0062
Xe 54 128 2p12->1s 3755.5860 0.1030 1.6360 0.1180 2.2262 -2.8600 17.7062 0.0014 0.0066
Xe 54 128 2p32->1s 3814.3340 0.1030 1.6030 0.1169 2.2241 -2.8110 17.7474 0.0014 0.0066
Xe 54 129 2p12->1s 3755.1350 0.0300 1.5070 0.1180 2.2263 -2.8600 17.7138 0.0005 0.0061
Xe 54 129 2p32->1s 3813.9760 0.0270 1.5980 0.1169 2.2242 -2.8110 17.7550 0.0005 0.0062
Xe 54 130 2p12->1s 3752.2450 0.1970 1.7200 0.1179 2.2264 -2.8600 17.7677 0.0028 0.0071
Xe 54 130 2p32->1s 3810.9290 0.1970 1.7110 0.1168 2.2243 -2.8140 17.8096 0.0029 0.0071
Xe 54 131 2p12->1s 3753.0600 0.0270 1.6100 0.1179 2.2264 -2.8620 17.7554 0.0005 0.0066
Xe 54 131 2p32->1s 3811.7680 0.0240 1.6290 0.1168 2.2243 -2.8120 17.7972 0.0005 0.0067
Xe 54 132 2p12->1s 3750.7370 0.0620 1.6960 0.1179 2.2265 -2.8660 17.7914 0.0009 0.0071
Xe 54 132 2p32->1s 3809.2860 0.0420 1.7190 0.1168 2.2244 -2.8160 17.8334 0.0005 0.0071
Xe 54 134 2p12->1s 3748.2170 0.0360 1.6900 0.1178 2.2267 -2.8670 17.8407 0.0005 0.0071
Xe 54 134 2p32->1s 3806.8500 0.0270 1.7220 0.1167 2.2246 -2.8170 17.8824 0.0005 0.0071
Xe 54 136 2p12->1s 3744.9560 0.0200 1.6460 0.1178 2.2269 -2.8720 17.8906 0.0005 0.0066
Xe 54 136 2p32->1s 3803.5080 0.0180 1.6810 0.1166 2.2248 -2.8200 17.9421 0.0005 0.0067
Cs 55 133 2p12->1s 3840.7020 0.0390 1.5310 0.1193 2.2296 -2.7590 17.8582 0.0005 0.0061
Cs 55 133 2p32->1s 3902.6360 0.0310 1.2890 0.1182 2.2274 -2.7100 17.8971 0.0005 0.0052
Ba 56 134 2p12->1s 3926.7850 0.0310 1.7570 0.1207 2.2328 -2.6650 17.9722 0.0005 0.0066
Ba 56 134 2p32->1s 3992.6830 0.0240 1.7550 0.1195 2.2305 -2.6140 18.0185 0.0005 0.0066
Ba 56 135 2p12->1s 3927.7210 0.0750 1.5480 0.1207 2.2327 -2.6630 17.9557 0.0009 0.0056
Ba 56 135 2p32->1s 3993.7420 0.0470 1.7050 0.1195 2.2305 -2.6120 18.0048 0.0005 0.0061
Ba 56 136 2p12->1s 3925.2320 0.0250 1.7560 0.1207 2.2329 -2.6670 17.9954 0.0005 0.0066
Ba 56 136 2p32->1s 3991.0930 0.0190 1.7880 0.1194 2.2306 -2.6140 18.0509 0.0005 0.0066
Ba 56 137 2p32->1s 3991.3900 0.0600 1.5220 0.1194 2.2306 -2.6130 18.0476 0.0009 0.0057
Ba 56 138 2p12->1s 3922.1890 0.0150 1.7370 0.1206 2.2331 -2.6690 18.0485 0.0005 0.0066
Ba 56 138 2p32->1s 3987.9880 0.0140 1.7810 0.1194 2.2308 -2.6180 18.0951 0.0005 0.0066
La 57 139 2p12->1s 4011.5570 0.0400 1.6260 0.1220 2.2360 -2.5750 18.0964 0.0005 0.0061
La 57 139 2p32->1s 4081.4080 0.0350 1.7590 0.1208 2.2336 -2.5240 18.1404 0.0005 0.0061
Ce 58 140 2p12->1s 4097.3890 0.0360 1.8340 0.1234 2.2391 -2.4920 18.1891 0.0005 0.0065
Ce 58 140 2p32->1s 4170.9340 0.0340 1.8850 0.1221 2.2366 -2.4390 18.2400 0.0005 0.0066
Ce 58 142 2p12->1s 4082.0910 0.1270 1.7390 0.1231 2.2399 -2.5050 18.4199 0.0014 0.0061
Ce 58 142 2p32->1s 4155.2450 0.0890 1.7490 0.1218 2.2374 -2.4520 18.4724 0.0009 0.0061
Pr 59 141 2p12->1s 4185.9080 0.0270 1.7260 0.1248 2.2420 -2.4090 18.2302 0.0005 0.0056
Pr 59 141 2p32->1s 4263.5950 0.0270 1.7840 0.1234 2.2394 -2.3550 18.2883 0.0005 0.0061
Nd 60 142 2p32->1s 4352.3540 0.0510 1.9570 0.1244 2.2433 -2.2800 18.4363 0.0005 0.0061
Nd 60 143 2p32->1s 4346.2610 0.1480 1.9620 0.1244 2.2433 -2.2800 18.5015 0.0014 0.0061
Nd 60 144 2p32->1s 4336.6280 0.0580 1.7990 0.1244 2.2433 -2.2900 18.6029 0.0005 0.0056
Nd 60 145 2p32->1s 4330.5550 0.1520 2.4590 0.1244 2.2433 -2.3000 18.6752 0.0014 0.0080
Nd 60 146 2p32->1s 4321.1080 0.0610 1.4920 0.1244 2.2433 -2.3100 18.7668 0.0005 0.0047
Nd 60 148 2p32->1s 4303.5190 0.0730 0.5660 0.1244 2.2433 -2.3200 18.9475 0.0009 0.0019
Pt 78 194 2p12->1s 5520.3210 0.1530 -0.7000 0.1465 2.2981 -1.5760 20.8239 0.0009 0.0101
Pt 78 194 2p32->1s 5680.1450 0.1630 -5.1510 0.1443 2.2943 -1.5060 20.9543 0.0009 0.0102
Pt 78 195 2p12->1s 5517.9560 0.2140 -0.7780 0.1465 2.2982 -1.5770 20.8424 0.0013 0.0101
Pt 78 195 2p32->1s 5677.3040 0.2220 -5.8390 0.1443 2.2944 -1.5080 20.9734 0.0013 0.0102
Pt 78 196 2p12->1s 5514.9160 0.1980 -0.1250 0.1464 2.2983 -1.5780 20.8847 0.0013 0.0079
Pt 78 196 2p32->1s 5675.8980 0.2060 -3.1050 0.1443 2.2945 -1.5100 21.0038 0.0013 0.0080
Pt 78 198 2p12->1s 5507.8570 0.2460 0.5060 0.1463 2.2986 -1.5810 20.9595 0.0018 0.0022
Pt 78 198 2p32->1s 5670.3570 0.2520 -1.1700 0.1442 2.2947 -1.5130 21.0756 0.0018 0.0022
Au 79 197 2p12->1s 5591.7100 0.1460 -0.5380 0.1477 2.3004 -1.5460 20.8306 0.0009 0.0026
Au 79 197 2p32->1s 5760.7920 0.1530 -1.3050 0.1455 2.2965 -1.4770 20.9577 0.0009 0.0027
Hg 80 198 2p12->1s 5664.5400 0.2550 0.5930 0.1488 2.3025 -1.5160 20.8331 0.0017 0.0026
Hg 80 198 2p32->1s 5838.2700 0.2560 -1.1740 0.1466 2.2986 -1.4470 20.9610 0.0018 0.0026
Hg 80 199 2p12->1s 5663.1500 0.5400 -1.2540 0.1488 2.3026 -1.5170 20.8402 0.0035 0.0039
Hg 80 199 2p32->1s 5839.4800 0.4600 2.1370 0.1466 2.2986 -1.4480 20.9650 0.0031 0.0040
Hg 80 200 2p12->1s 5656.3600 0.2720 0.6940 0.1487 2.3028 -1.5200 20.9098 0.0017 0.0026
Hg 80 200 2p32->1s 5829.6900 0.2550 -1.3050 0.1465 2.2989 -1.4500 21.0385 0.0018 0.0026
Hg 80 202 2p12->1s 5649.3500 0.3270 1.2400 0.1486 2.3030 -1.5230 20.9831 0.0022 0.0026
Hg 80 202 2p32->1s 5822.5500 0.2550 0.3640 0.1464 2.2991 -1.4540 21.1121 0.0018 0.0026
Hg 80 204 2p12->1s 5641.6000 0.8250 2.0690 0.1485 2.3033 -1.5280 21.0680 0.0057 0.0044
Hg 80 204 2p32->1s 5814.4200 0.3800 2.0400 0.1463 2.2994 -1.4580 21.1983 0.0027 0.0040
Tl 81 203 2p12->1s 5726.1400 0.6700 3.7370 0.1520 2.3170 -1.4960 21.1099 0.0044 0.0083
Tl 81 203 2p32->1s 5906.3800 0.6700 3.7370 0.1520 2.3270 -1.4260 21.4812 0.0045 0.0085
Tl 81 205 2p12->1s 5717.2100 0.6500 3.7370 0.1520 2.3180 -1.5000 21.2050 0.0044 0.0083
Tl 81 205 2p32->1s 5897.2900 0.6700 3.7370 0.1520 2.3280 -1.4290 21.5770 0.0045 0.0085
Pb 82 204 2p12->1s 5796.3180 0.1800 2.0860 0.1510 2.3071 -1.4670 20.9226 0.0013 0.0039
Pb 82 204 2p32->1s 5982.1240 0.1580 2.1360 0.1487 2.3031 -1.3960 21.0609 0.0013 0.0039
Pb 82 206 2p12->1s 5787.2080 0.1720 2.1290 0.1509 2.3073 -1.4710 20.9992 0.0013 0.0039
Pb 82 206 2p32->1s 5972.7940 0.1580 2.2010 0.1486 2.3034 -1.4000 21.1420 0.0009 0.0039
Pb 82 207 2p12->1s 5783.9880 0.2150 2.2090 0.1508 2.3074 -1.4720 21.0382 0.0013 0.0043
Pb 82 207 2p32->1s 5968.8640 0.2100 2.3040 0.1486 2.3035 -1.4020 21.1688 0.0013 0.0044
Pb 82 208 2p12->1s 5778.0580 0.1000 2.9450 0.1507 2.3076 -1.4740 21.0982 0.0009 0.0056
Pb 82 208 2p32->1s 5962.8540 0.0900 2.7180 0.1485 2.3037 -1.4040 21.2294 0.0004 0.0048
Bi 83 209 2p12->1s 5843.2000 0.0025 3.8440 0.1540 2.3290 -1.4580 21.5694 0.0158 0.0079
Bi 83 209 2p32->1s 6034.0000 0.0022 3.8440 0.1540 2.3390 -1.3860 21.9483 0.0135 0.0081
