Table S2.  212 Mammal and Plant diet mOTUs (identified to individual reference sequence) found within scats from six focal species collected from JRBP, expressed by the Count (number of scats containing prey species); FOO (Frequency Of Occurrence = number of occurrences / total scat sample size); POO (Percentage Of Occurrence = number of occurrences / total number of prey species across all samples).,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
Functional Group,OTUs,Family,Genus,Rank,RefSeq,Jackrabbit (n=13),,,Deer (n=12),,,Gray Fox (n=48),,,Puma (n=12),,,Coyote (n=9),,,Bobcat (n=19),,
Woody,Fagaceae,Fagaceae,NA,family,FM244079,0,0.00,0.0%,1,0.08,0.4%,0,0.00,0.0%,0,0.00,0.0%,0,0.00,0.0%,0,0.00,0.0%
Woody,Prunus,Rosaceae,Prunus,genus,JQ776883,0,0.00,0.0%,0,0.00,0.0%,1,0.02,0.3%,0,0.00,0.0%,0,0.00,0.0%,0,0.00,0.0%
Woody,Toxicodendron,Anacardiaceae,Toxicodendron,genus,AY677202,0,0.00,0.0%,2,0.17,0.8%,0,0.00,0.0%,0,0.00,0.0%,0,0.00,0.0%,0,0.00,0.0%
Woody,Platanus,Platanaceae,Platanus,genus,AM491936,0,0.00,0.0%,0,0.00,0.0%,1,0.02,0.3%,0,0.00,0.0%,0,0.00,0.0%,0,0.00,0.0%
Woody,Arbutus menziesii,Ericaceae,Arbutus,species,KU350155,0,0.00,0.0%,1,0.08,0.4%,0,0.00,0.0%,0,0.00,0.0%,0,0.00,0.0%,0,0.00,0.0%
Woody,Rubus,Rosaceae,Rubus,genus,AF055756,0,0.00,0.0%,1,0.08,0.4%,0,0.00,0.0%,0,0.00,0.0%,0,0.00,0.0%,0,0.00,0.0%
Woody,Rosa,Rosaceae,Rosa,genus,AB043005,0,0.00,0.0%,0,0.00,0.0%,0,0.00,0.0%,0,0.00,0.0%,1,0.11,2.6%,0,0.00,0.0%
Woody,Malus domestica,Rosaceae,Malus,species,MH633844,0,0.00,0.0%,1,0.08,0.4%,0,0.00,0.0%,0,0.00,0.0%,0,0.00,0.0%,0,0.00,0.0%
Woody,Morus,Moraceae,Morus,genus,AM041998,1,0.08,0.5%,0,0.00,0.0%,2,0.04,0.7%,0,0.00,0.0%,0,0.00,0.0%,0,0.00,0.0%
Woody,Syzygium australe,Myrtaceae,Syzygium,species,KM064931,0,0.00,0.0%,0,0.00,0.0%,1,0.02,0.3%,0,0.00,0.0%,1,0.11,2.6%,0,0.00,0.0%
Woody,Rhamneae,Rhamnaceae,NA,tribe,KP093131,0,0.00,0.0%,0,0.00,0.0%,1,0.02,0.3%,0,0.00,0.0%,0,0.00,0.0%,0,0.00,0.0%
Woody,Salix,Salicaceae,Salix,genus,EF060372,0,0.00,0.0%,0,0.00,0.0%,2,0.04,0.7%,0,0.00,0.0%,0,0.00,0.0%,0,0.00,0.0%
Woody,Quercus,Fagaceae,Quercus,genus,FM243947,0,0.00,0.0%,1,0.08,0.4%,1,0.02,0.3%,0,0.00,0.0%,0,0.00,0.0%,0,0.00,0.0%
Woody,Fraxinus,Oleaceae,Fraxinus,genus,EF190035,0,0.00,0.0%,0,0.00,0.0%,1,0.02,0.3%,0,0.00,0.0%,0,0.00,0.0%,0,0.00,0.0%
Woody,Ulmus,Ulmaceae,Ulmus,genus,AF174642,0,0.00,0.0%,1,0.08,0.4%,0,0.00,0.0%,0,0.00,0.0%,0,0.00,0.0%,0,0.00,0.0%
Woody,Salix,Salicaceae,Salix,genus,AJ006426,0,0.00,0.0%,1,0.08,0.4%,0,0.00,0.0%,0,0.00,0.0%,0,0.00,0.0%,0,0.00,0.0%
Woody,Quercus,Fagaceae,Quercus,genus,FM244054,2,0.15,1.0%,0,0.00,0.0%,2,0.04,0.7%,0,0.00,0.0%,0,0.00,0.0%,0,0.00,0.0%
Woody,Ficus palmata,Moraceae,Ficus,species,LC375804,0,0.00,0.0%,0,0.00,0.0%,4,0.08,1.4%,0,0.00,0.0%,0,0.00,0.0%,0,0.00,0.0%
Woody,Cornus,Cornaceae,Cornus,genus,MH711198,1,0.08,0.5%,0,0.00,0.0%,0,0.00,0.0%,0,0.00,0.0%,0,0.00,0.0%,0,0.00,0.0%
Woody,Prunus,Rosaceae,Prunus,genus,AF318756,0,0.00,0.0%,1,0.08,0.4%,1,0.02,0.3%,0,0.00,0.0%,0,0.00,0.0%,0,0.00,0.0%
Woody,Salix,Salicaceae,Salix,genus,JQ898640,0,0.00,0.0%,1,0.08,0.4%,0,0.00,0.0%,0,0.00,0.0%,0,0.00,0.0%,0,0.00,0.0%
Woody,Quercus,Fagaceae,Quercus,genus,FM244150,2,0.15,1.0%,1,0.08,0.4%,0,0.00,0.0%,0,0.00,0.0%,0,0.00,0.0%,0,0.00,0.0%
Woody,Quercus,Fagaceae,Quercus,genus,FM243956,0,0.00,0.0%,2,0.17,0.8%,1,0.02,0.3%,0,0.00,0.0%,0,0.00,0.0%,0,0.00,0.0%
Woody,Hedera,Araliaceae,Hedera,genus,U63186,0,0.00,0.0%,1,0.08,0.4%,1,0.02,0.3%,0,0.00,0.0%,0,0.00,0.0%,0,0.00,0.0%
Woody,Quercus,Fagaceae,Quercus,genus,AF174633,2,0.15,1.0%,2,0.17,0.8%,2,0.04,0.7%,0,0.00,0.0%,0,0.00,0.0%,0,0.00,0.0%
Woody,Toxicodendron,Anacardiaceae,Toxicodendron,genus,FJ945954,1,0.08,0.5%,3,0.25,1.2%,1,0.02,0.3%,0,0.00,0.0%,0,0.00,0.0%,0,0.00,0.0%
Woody,Pyracantha,Rosaceae,Pyracantha,genus,MH703351,0,0.00,0.0%,1,0.08,0.4%,0,0.00,0.0%,0,0.00,0.0%,0,0.00,0.0%,0,0.00,0.0%
Woody,Pistacia chinensis,Anacardiaceae,Pistacia,species,DQ390466,4,0.31,2.0%,2,0.17,0.8%,1,0.02,0.3%,0,0.00,0.0%,0,0.00,0.0%,0,0.00,0.0%
Woody,Rubus odoratus,Rosaceae,Rubus,species,KM037678,0,0.00,0.0%,1,0.08,0.4%,0,0.00,0.0%,0,0.00,0.0%,0,0.00,0.0%,0,0.00,0.0%
Woody,Castanea,Fagaceae,Castanea,genus,EU016360,0,0.00,0.0%,0,0.00,0.0%,1,0.02,0.3%,0,0.00,0.0%,0,0.00,0.0%,0,0.00,0.0%
Woody,Quercus,Fagaceae,Quercus,genus,FM243939,2,0.15,1.0%,0,0.00,0.0%,1,0.02,0.3%,0,0.00,0.0%,0,0.00,0.0%,0,0.00,0.0%
Woody,Eucalyptus,Myrtaceae,Eucalyptus,genus,KM064783,1,0.08,0.5%,0,0.00,0.0%,0,0.00,0.0%,0,0.00,0.0%,0,0.00,0.0%,0,0.00,0.0%
Woody,Rosa phoenicia,Rosaceae,Rosa,species,AB043828,0,0.00,0.0%,1,0.08,0.4%,0,0.00,0.0%,0,0.00,0.0%,0,0.00,0.0%,0,0.00,0.0%
Woody,Platanus,Platanaceae,Platanus,genus,AM492040,1,0.08,0.5%,0,0.00,0.0%,1,0.02,0.3%,0,0.00,0.0%,0,0.00,0.0%,0,0.00,0.0%
Woody,Diospyros,Ebenaceae,Diospyros,genus,KF206046,0,0.00,0.0%,0,0.00,0.0%,1,0.02,0.3%,0,0.00,0.0%,0,0.00,0.0%,0,0.00,0.0%
Woody,Prunus,Rosaceae,Prunus,genus,KX192139,0,0.00,0.0%,1,0.08,0.4%,0,0.00,0.0%,0,0.00,0.0%,0,0.00,0.0%,0,0.00,0.0%
Woody,Ulmus parvifolia,Ulmaceae,Ulmus,species,KC539586,0,0.00,0.0%,0,0.00,0.0%,0,0.00,0.0%,0,0.00,0.0%,1,0.11,2.6%,0,0.00,0.0%
Woody,Quercus,Fagaceae,Quercus,genus,FM243988,3,0.23,1.5%,5,0.42,1.9%,1,0.02,0.3%,0,0.00,0.0%,0,0.00,0.0%,0,0.00,0.0%
Woody,Artemisia,Asteraceae,Artemisia,genus,MH092832,1,0.08,0.5%,0,0.00,0.0%,0,0.00,0.0%,0,0.00,0.0%,1,0.11,2.6%,0,0.00,0.0%
Woody,Artemisia californica,Asteraceae,Artemisia,species,KX147536,1,0.08,0.5%,2,0.17,0.8%,3,0.06,1.0%,0,0.00,0.0%,0,0.00,0.0%,0,0.00,0.0%
Woody,Quercus,Fagaceae,Quercus,genus,FM244074,4,0.31,2.0%,0,0.00,0.0%,2,0.04,0.7%,0,0.00,0.0%,0,0.00,0.0%,0,0.00,0.0%
Woody,Anacardiaceae,Anacardiaceae,NA,family,FJ945947,0,0.00,0.0%,2,0.17,0.8%,1,0.02,0.3%,0,0.00,0.0%,0,0.00,0.0%,0,0.00,0.0%
Woody,Prunus,Rosaceae,Prunus,genus,KX192124,0,0.00,0.0%,1,0.08,0.4%,0,0.00,0.0%,0,0.00,0.0%,0,0.00,0.0%,0,0.00,0.0%
Woody,Diospyros,Ebenaceae,Diospyros,genus,JQ975102,0,0.00,0.0%,0,0.00,0.0%,1,0.02,0.3%,0,0.00,0.0%,0,0.00,0.0%,0,0.00,0.0%
Woody,Salix alba,Salicaceae,Salix,species,AJ006423,0,0.00,0.0%,2,0.17,0.8%,0,0.00,0.0%,0,0.00,0.0%,0,0.00,0.0%,0,0.00,0.0%
Woody,Rosa,Rosaceae,Rosa,genus,AB043836,0,0.00,0.0%,1,0.08,0.4%,0,0.00,0.0%,0,0.00,0.0%,0,0.00,0.0%,0,0.00,0.0%
Woody,Nageia,Podocarpaceae,Nageia,genus,AB023989,3,0.23,1.5%,2,0.17,0.8%,6,0.13,2.1%,0,0.00,0.0%,0,0.00,0.0%,0,0.00,0.0%
Woody,Ceanothus cuneatus,Rhamnaceae,Ceanothus,species,KR083063,0,0.00,0.0%,0,0.00,0.0%,6,0.13,2.1%,0,0.00,0.0%,0,0.00,0.0%,0,0.00,0.0%
Woody,Pinus,Pinaceae,Pinus,genus,X87936,1,0.08,0.5%,0,0.00,0.0%,0,0.00,0.0%,0,0.00,0.0%,1,0.11,2.6%,0,0.00,0.0%
Woody,Ceanothus,Rhamnaceae,Ceanothus,genus,KR083062,0,0.00,0.0%,1,0.08,0.4%,1,0.02,0.3%,0,0.00,0.0%,0,0.00,0.0%,0,0.00,0.0%
Woody,Quercus,Fagaceae,Quercus,genus,JF980309,5,0.38,2.5%,5,0.42,1.9%,2,0.04,0.7%,0,0.00,0.0%,0,0.00,0.0%,0,0.00,0.0%
Woody,Salix,Salicaceae,Salix,genus,AJ006428,0,0.00,0.0%,3,0.25,1.2%,1,0.02,0.3%,0,0.00,0.0%,0,0.00,0.0%,0,0.00,0.0%
Woody,Quercus,Fagaceae,Quercus,genus,FM244145,5,0.38,2.5%,1,0.08,0.4%,4,0.08,1.4%,0,0.00,0.0%,0,0.00,0.0%,0,0.00,0.0%
Woody,Prunus,Rosaceae,Prunus,genus,EU669097,0,0.00,0.0%,2,0.17,0.8%,0,0.00,0.0%,0,0.00,0.0%,0,0.00,0.0%,0,0.00,0.0%
Woody,Fagaceae,Fagaceae,NA,family,KM978077,1,0.08,0.5%,7,0.58,2.7%,5,0.10,1.7%,0,0.00,0.0%,0,0.00,0.0%,0,0.00,0.0%
Woody,Rosa gallica,Rosaceae,Rosa,species,AB043824,0,0.00,0.0%,1,0.08,0.4%,0,0.00,0.0%,0,0.00,0.0%,0,0.00,0.0%,0,0.00,0.0%
Woody,Rhamneae,Rhamnaceae,NA,tribe,KR083182,0,0.00,0.0%,0,0.00,0.0%,2,0.04,0.7%,0,0.00,0.0%,0,0.00,0.0%,0,0.00,0.0%
Woody,Prunus salicina,Rosaceae,Prunus,species,KX192132,0,0.00,0.0%,2,0.17,0.8%,0,0.00,0.0%,0,0.00,0.0%,0,0.00,0.0%,0,0.00,0.0%
Woody,Morella californica,Myricaceae,Morella,species,AJ626782,0,0.00,0.0%,0,0.00,0.0%,1,0.02,0.3%,0,0.00,0.0%,1,0.11,2.6%,0,0.00,0.0%
Woody,Toxicodendron diversilobum,Anacardiaceae,Toxicodendron,species,MF964008,2,0.15,1.0%,7,0.58,2.7%,4,0.08,1.4%,0,0.00,0.0%,0,0.00,0.0%,0,0.00,0.0%
Woody,Salix lucida,Salicaceae,Salix,species,EF060382,0,0.00,0.0%,2,0.17,0.8%,1,0.02,0.3%,0,0.00,0.0%,0,0.00,0.0%,0,0.00,0.0%
Woody,Vitis,Vitaceae,Vitis,genus,AM462492,0,0.00,0.0%,0,0.00,0.0%,2,0.04,0.7%,0,0.00,0.0%,0,0.00,0.0%,0,0.00,0.0%
Woody,Vitis heyneana,Vitaceae,Vitis,species,MH711238,0,0.00,0.0%,0,0.00,0.0%,2,0.04,0.7%,0,0.00,0.0%,0,0.00,0.0%,0,0.00,0.0%
Woody,Cedrus deodara,Pinaceae,Cedrus,species,DQ975357,6,0.46,2.9%,4,0.33,1.5%,10,0.21,3.5%,0,0.00,0.0%,2,0.22,5.1%,0,0.00,0.0%
Woody,Fagaceae,Fagaceae,NA,family,FM244015,1,0.08,0.5%,9,0.75,3.5%,9,0.19,3.1%,0,0.00,0.0%,0,0.00,0.0%,0,0.00,0.0%
Woody,Prunus,Rosaceae,Prunus,genus,AF318755,0,0.00,0.0%,2,0.17,0.8%,0,0.00,0.0%,0,0.00,0.0%,0,0.00,0.0%,0,0.00,0.0%
Woody,Corylus,Betulaceae,Corylus,genus,AF297338,0,0.00,0.0%,1,0.08,0.4%,0,0.00,0.0%,0,0.00,0.0%,0,0.00,0.0%,0,0.00,0.0%
Woody,Fagaceae,Fagaceae,NA,family,KU568518,2,0.15,1.0%,11,0.92,4.2%,9,0.19,3.1%,0,0.00,0.0%,0,0.00,0.0%,0,0.00,0.0%
Woody,Diospyros lotus,Ebenaceae,Diospyros,species,AB175011,0,0.00,0.0%,0,0.00,0.0%,1,0.02,0.3%,0,0.00,0.0%,0,0.00,0.0%,0,0.00,0.0%
Woody,Rhamneae,Rhamnaceae,NA,tribe,KR083168,0,0.00,0.0%,0,0.00,0.0%,2,0.04,0.7%,0,0.00,0.0%,0,0.00,0.0%,0,0.00,0.0%
Woody,Rubus,Rosaceae,Rubus,genus,JF980336,1,0.08,0.5%,7,0.58,2.7%,0,0.00,0.0%,0,0.00,0.0%,0,0.00,0.0%,0,0.00,0.0%
Woody,Quercus muehlenbergii,Fagaceae,Quercus,species,KM200972,4,0.31,2.0%,10,0.83,3.9%,5,0.10,1.7%,0,0.00,0.0%,2,0.22,5.1%,0,0.00,0.0%
Woody,Rosa,Rosaceae,Rosa,genus,FJ527717,0,0.00,0.0%,1,0.08,0.4%,0,0.00,0.0%,0,0.00,0.0%,0,0.00,0.0%,0,0.00,0.0%
Woody,Quercus,Fagaceae,Quercus,genus,FM244151,1,0.08,0.5%,10,0.83,3.9%,4,0.08,1.4%,0,0.00,0.0%,0,0.00,0.0%,0,0.00,0.0%
Woody,Baccharis pilularis subsp. consanguinea,Asteraceae,Baccharis,subspecies,MF963972,4,0.31,2.0%,3,0.25,1.2%,8,0.17,2.8%,0,0.00,0.0%,3,0.33,7.7%,0,0.00,0.0%
Woody,Ficus,Moraceae,Ficus,genus,AY730123,0,0.00,0.0%,0,0.00,0.0%,7,0.15,2.4%,0,0.00,0.0%,0,0.00,0.0%,0,0.00,0.0%
Woody,Prunus ilicifolia subsp. lyonii,Rosaceae,Prunus,subspecies,AF318743,2,0.15,1.0%,0,0.00,0.0%,14,0.29,4.9%,0,0.00,0.0%,0,0.00,0.0%,0,0.00,0.0%
